TIME,BUY
2017-02-10T15:16:41.424,132.46
2017-02-10T15:16:46.455,132.46
2017-02-10T15:16:51.477,132.46
2017-02-10T15:16:56.514,132.45
2017-02-10T15:17:01.542,132.45
2017-02-10T15:17:06.563,132.45
2017-02-10T15:17:11.610,132.45
2017-02-10T15:17:16.654,132.41
2017-02-10T15:17:21.680,132.4
2017-02-10T15:17:26.701,132.38
2017-02-10T15:17:31.723,132.38
2017-02-10T15:17:36.742,132.38
2017-02-10T15:17:41.763,132.36
2017-02-10T15:17:46.791,132.37
2017-02-10T15:17:51.828,132.36
2017-02-10T15:17:56.852,132.35
2017-02-10T15:18:01.882,132.34
2017-02-10T15:18:06.904,132.34
2017-02-10T15:18:11.939,132.33
2017-02-10T15:18:16.967,132.33
2017-02-10T15:18:21.988,132.34
2017-02-10T15:18:27.011,132.35
2017-02-10T15:18:32.037,132.34
2017-02-10T15:18:37.057,132.34
2017-02-10T15:18:42.077,132.34
2017-02-10T15:18:47.102,132.33
2017-02-10T15:18:52.136,132.3
2017-02-10T15:18:57.158,132.29
2017-02-10T15:19:02.181,132.3
2017-02-10T15:19:06.207,132.3
2017-02-10T15:19:11.346,132.3
2017-02-10T15:19:16.368,132.3
2017-02-10T15:19:21.398,132.3
2017-02-10T15:19:26.425,132.3
2017-02-10T15:19:31.452,132.31
2017-02-10T15:19:36.477,132.28
2017-02-10T15:19:41.506,132.28
2017-02-10T15:19:46.528,132.29
2017-02-10T15:19:51.556,132.29
2017-02-10T15:19:56.577,132.29
2017-02-10T15:20:01.609,132.29
2017-02-10T15:20:06.645,132.29
2017-02-10T15:20:11.705,132.3
2017-02-10T15:20:16.759,132.3
2017-02-10T15:20:21.788,132.3
2017-02-10T15:20:26.824,132.3
2017-02-10T15:20:31.850,132.3
2017-02-10T15:20:36.882,132.28
2017-02-10T15:20:41.919,132.28
2017-02-10T15:20:46.940,132.28
2017-02-10T15:20:51.961,132.29
2017-02-10T15:20:57.004,132.29
2017-02-10T15:21:02.023,132.29
2017-02-10T15:21:07.044,132.29
2017-02-10T15:21:12.066,132.29
2017-02-10T15:21:17.089,132.28
2017-02-10T15:21:22.112,132.29
2017-02-10T15:21:27.151,132.29
2017-02-10T15:21:32.184,132.29
2017-02-10T15:21:37.204,132.31
2017-02-10T15:21:41.228,132.3
2017-02-10T15:21:46.249,132.3
2017-02-10T15:21:51.269,132.3
2017-02-10T15:21:56.286,132.3
2017-02-10T15:22:02.311,132.3
2017-02-10T15:22:06.330,132.31
2017-02-10T15:22:11.351,132.29
2017-02-10T15:22:16.372,132.31
2017-02-10T15:22:21.393,132.31
2017-02-10T15:22:26.412,132.31
2017-02-10T15:22:31.450,132.3
2017-02-10T15:22:36.473,132.31
2017-02-10T15:22:41.498,132.33
2017-02-10T15:22:46.527,132.33
2017-02-10T15:22:51.559,132.32
2017-02-10T15:22:56.589,132.33
2017-02-10T15:23:01.617,132.32
2017-02-10T15:23:06.663,132.32
2017-02-10T15:23:11.687,132.3
2017-02-10T15:23:16.717,132.3
2017-02-10T15:23:21.738,132.31
2017-02-10T15:23:26.758,132.31
2017-02-10T15:23:31.776,132.31
2017-02-10T15:23:36.795,132.31
2017-02-10T15:23:41.824,132.31
2017-02-10T15:23:46.857,132.31
2017-02-10T15:23:51.885,132.28
2017-02-10T15:23:56.906,132.28
2017-02-10T15:24:01.939,132.28
2017-02-10T15:24:06.961,132.27
2017-02-10T15:24:11.982,132.26
2017-02-10T15:24:17.007,132.26
2017-02-10T15:24:22.028,132.26
2017-02-10T15:24:27.048,132.26
2017-02-10T15:24:32.072,132.26
2017-02-10T15:24:37.099,132.25
2017-02-10T15:24:42.121,132.26
2017-02-10T15:24:47.142,132.26
2017-02-10T15:24:52.187,132.26
2017-02-10T15:24:57.208,132.26
2017-02-10T15:25:02.227,132.26
2017-02-10T15:25:06.275,132.26
2017-02-10T15:25:11.321,132.24
2017-02-10T15:25:16.349,132.24
2017-02-10T15:25:21.377,132.24
2017-02-10T15:25:26.399,132.26
2017-02-10T15:25:31.428,132.26
2017-02-10T15:25:36.455,132.28
2017-02-10T15:25:41.476,132.3
2017-02-10T15:25:46.498,132.3
2017-02-10T15:25:51.544,132.3
2017-02-10T15:25:56.586,132.3
2017-02-10T15:26:01.619,132.29
2017-02-10T15:26:06.655,132.28
2017-02-10T15:26:11.681,132.29
2017-02-10T15:26:16.702,132.29
2017-02-10T15:26:21.723,132.27
2017-02-10T15:26:26.744,132.28
2017-02-10T15:26:31.767,132.28
2017-02-10T15:26:36.789,132.28
2017-02-10T15:26:41.810,132.28
2017-02-10T15:26:46.830,132.28
2017-02-10T15:26:51.855,132.29
2017-02-10T15:26:56.903,132.29
2017-02-10T15:27:01.939,132.31
2017-02-10T15:27:06.959,132.33
2017-02-10T15:27:11.978,132.33
2017-02-10T15:27:17.022,132.33
2017-02-10T15:27:22.049,132.31
2017-02-10T15:27:27.068,132.31
2017-02-10T15:27:32.089,132.31
2017-02-10T15:27:37.124,132.32
2017-02-10T15:27:42.149,132.33
2017-02-10T15:27:47.173,132.33
2017-02-10T15:27:52.194,132.33
2017-02-10T15:27:57.214,132.31
2017-02-10T15:28:02.235,132.31
2017-02-10T15:28:06.252,132.31
2017-02-10T15:28:11.276,132.29
2017-02-10T15:28:16.297,132.28
2017-02-10T15:28:21.316,132.28
2017-02-10T15:28:26.337,132.28
2017-02-10T15:28:31.359,132.28
2017-02-10T15:28:36.380,132.28
2017-02-10T15:28:41.402,132.3
2017-02-10T15:28:46.428,132.29
2017-02-10T15:28:51.457,132.27
2017-02-10T15:28:56.480,132.28
2017-02-10T15:29:01.507,132.29
2017-02-10T15:29:06.534,132.26
2017-02-10T15:29:11.570,132.27
2017-02-10T15:29:16.592,132.28
2017-02-10T15:29:21.635,132.28
2017-02-10T15:29:26.662,132.28
2017-02-10T15:29:31.682,132.28
2017-02-10T15:29:36.703,132.28
2017-02-10T15:29:41.724,132.28
2017-02-10T15:29:46.748,132.26
2017-02-10T15:29:51.768,132.26
2017-02-10T15:29:56.795,132.27
2017-02-10T15:30:01.818,132.27
2017-02-10T15:30:06.852,132.26
2017-02-10T15:30:11.881,132.24
2017-02-10T15:30:16.913,132.24
2017-02-10T15:30:21.936,132.24
2017-02-10T15:30:26.962,132.25
2017-02-10T15:30:31.981,132.24
2017-02-10T15:30:37.006,132.25
